endTime,startTime,activityProbability,topCandidateType,topCandidateProbability,distanceMeters,startLatitude,startLongitude,endLatitude,endLongitude,relativeWeekNum
2024-12-05T19:51:35.999+01:00,2024-12-05 19:46:48.028,0.96499,in tram,0.502167,343.891724,52.222009,21.005497,52.219014,21.004868,0
2024-12-05T20:20:32.036+01:00,2024-12-05 19:51:35.999,0.989086,in subway,0.577067,10677.961914,52.219014,21.004868,52.131347,21.065809,0
2024-12-06T13:37:03.005+01:00,2024-12-06 13:33:59.161,0.909291,walking,0.67689,246.412064,52.129527,21.065707,52.131398,21.065778,0
2024-12-06T13:55:46.036+01:00,2024-12-06 13:37:03.005,0.989348,in subway,0.912099,9411.0625,52.131398,21.065778,52.207949,21.008098,0
2024-12-06T14:03:13.000+01:00,2024-12-06 13:55:46.036,0.89298,in tram,0.0,1595.172119,52.207949,21.008098,52.222114,21.004991,0
2024-12-06T15:34:02.958+01:00,2024-12-06 15:30:29.617,0.894056,in tram,0.232779,654.523804,52.223704,21.004383,52.229329,21.002564,0
2024-12-06T16:27:37.351+01:00,2024-12-06 15:45:36.983,0.98412,in tram,0.621418,11329.810547,52.223735,21.004380,52.131385,21.065781,0
2024-12-06T16:31:37.852+01:00,2024-12-06 16:27:37.351,0.983489,walking,0.70891,173.223846,52.131385,21.065781,52.129888,21.065419,0
2024-12-09T09:56:47.706+01:00,2024-12-09 09:37:23.525,0.999469,in subway,0.982568,9421.582031,52.131050,21.066024,52.207962,21.008323,1
2024-12-09T10:04:30.124+01:00,2024-12-09 09:56:47.706,0.913386,in tram,0.689561,1642.875366,52.207962,21.008323,52.222417,21.004819,1
2024-12-09T10:08:46.173+01:00,2024-12-09 10:04:30.124,0.742626,walking,0.41779,162.99617,52.222417,21.004819,52.222027,21.007126,1
2024-12-09T17:38:26.673+01:00,2024-12-09 17:20:18.192,0.653355,walking,0.636558,349.456879,52.221405,21.010073,52.222075,21.007475,1
2024-12-09T19:28:14.288+01:00,2024-12-09 19:20:29.338,0.64444,walking,0.0,273.289276,52.222019,21.005639,52.220014,21.004811,1
2024-12-09T20:09:05.946+01:00,2024-12-09 19:28:14.288,0.992172,in subway,0.0,10644.874023,52.219154,21.004840,52.131400,21.065779,1
2024-12-10T15:32:21.822+01:00,2024-12-10 14:07:16.425,0.68421,walking,0.618583,588.8479,52.131033,21.064077,52.131025,21.065862,1
2024-12-10T16:11:19.000+01:00,2024-12-10 15:32:21.822,0.981641,in tram,0.66516,10993.379883,52.131025,21.065862,52.221979,21.005027,1
2024-12-10T17:49:41.675+01:00,2024-12-10 17:16:44.126,0.991176,in subway,0.267058,10730.277344,52.219402,21.004979,52.130807,21.065764,1
2024-12-11T17:27:11.834+01:00,2024-12-11 17:23:21.359,0.741591,walking,0.527135,186.251434,52.130387,21.065464,52.131415,21.065741,1
2024-12-11T17:52:16.632+01:00,2024-12-11 17:27:11.834,0.989156,in subway,0.602931,11046.291016,52.131415,21.065741,52.222503,21.004838,1
2024-12-11T19:18:58.653+01:00,2024-12-11 18:59:11.177,0.960769,in tram,0.648565,6779.188477,52.220437,21.004821,52.161361,21.028211,1
2024-12-11T19:22:45.086+01:00,2024-12-11 19:18:58.653,0.835543,walking,0.416311,264.601501,52.161361,21.028211,52.163459,21.026483,1
2024-12-11T21:19:29.962+01:00,2024-12-11 21:09:15.622,0.998791,in subway,0.902454,4225.90625,52.161444,21.028155,52.131398,21.065719,1
2024-12-11T21:23:57.389+01:00,2024-12-11 21:19:29.962,0.979628,walking,0.668215,241.957245,52.131398,21.065719,52.129227,21.065492,1
2024-12-12T09:48:27.294+01:00,2024-12-12 09:41:33.525,0.827975,walking,0.543379,288.51535,52.128943,21.064899,52.131435,21.065765,1
2024-12-12T10:06:14.942+01:00,2024-12-12 09:48:27.294,0.99864,in subway,0.966501,9362.282227,52.131435,21.065765,52.207917,21.008360,1
2024-12-12T10:15:00.999+01:00,2024-12-12 10:06:14.942,0.889219,in tram,0.663455,1714.46228,52.207917,21.008360,52.221302,21.004830,1
2024-12-12T10:18:53.122+01:00,2024-12-12 10:15:00.999,0.786425,walking,0.543408,171.722122,52.221302,21.004830,52.221989,21.007088,1
2024-12-12T18:16:04.494+01:00,2024-12-12 17:46:29.423,0.988982,in tram,0.373376,11211.378906,52.222037,21.005432,52.129459,21.065973,1
2024-12-12T18:18:47.275+01:00,2024-12-12 18:16:04.494,0.96536,walking,0.790286,92.259689,52.129475,21.066041,52.129045,21.064884,1
2024-12-13T11:49:07.773+01:00,2024-12-13 11:38:27.606,0.910882,walking,0.707666,137.342331,52.128700,21.064689,52.129858,21.065389,1
2024-12-13T11:59:21.304+01:00,2024-12-13 11:49:07.773,0.992361,in bus,0.318292,1734.40271,52.129858,21.065389,52.143427,21.054406,1
2024-12-13T13:26:17.571+01:00,2024-12-13 13:17:10.597,0.992614,in bus,0.475735,1764.675049,52.143656,21.054182,52.129704,21.065589,1
2024-12-14T11:32:00.670+01:00,2024-12-14 11:30:13.635,0.953371,walking,0.499201,142.551575,52.130093,21.064994,52.131269,21.065826,1
2024-12-14T11:45:42.565+01:00,2024-12-14 11:32:00.670,0.999206,in subway,0.925868,4351.037598,52.131269,21.065826,52.162545,21.027758,1
2024-12-14T13:14:31.071+01:00,2024-12-14 13:10:28.095,0.997711,in subway,0.0,968.768433,52.162648,21.027149,52.155695,21.035706,1
2024-12-14T14:15:08.231+01:00,2024-12-14 13:42:34.554,0.943571,in subway,0.878937,1014.05011,52.155677,21.034149,52.149707,21.045384,1
2024-12-14T18:45:00.231+01:00,2024-12-14 14:15:08.231,0.0,unknown,0.0,0.0,52.149707,21.045384,52.129119,21.065779,1
2024-12-17T20:57:00.077+01:00,2024-12-17 20:05:00.077,0.0,unknown,0.0,0.0,52.129119,21.065779,52.146123,21.043912,2
2024-12-17T21:11:05.344+01:00,2024-12-17 21:00:53.618,0.985122,in bus,0.573846,2648.478027,52.146658,21.043179,52.129482,21.065715,2
2024-12-18T09:06:46.000+01:00,2024-12-18 08:59:54.948,0.991096,walking,0.551532,453.108215,52.128700,21.064689,52.131263,21.059410,2
2024-12-18T09:21:34.999+01:00,2024-12-18 09:16:24.998,0.974671,walking,0.904645,510.872192,52.132103,21.056019,52.135453,21.051205,2
2024-12-18T10:36:09.113+01:00,2024-12-18 10:32:45.954,0.995262,in bus,0.747509,1186.288208,52.136084,21.050420,52.131223,21.062374,2
2024-12-18T10:45:34.000+01:00,2024-12-18 10:36:09.113,0.839016,walking,0.490134,353.963226,52.131223,21.062374,52.130629,21.064987,2
2024-12-18T19:31:29.714+01:00,2024-12-18 19:26:40.468,0.921824,walking,0.0,226.432068,52.129677,21.065604,52.131554,21.065710,2
2024-12-18T19:37:57.496+01:00,2024-12-18 19:31:29.714,0.999352,in subway,0.971202,4309.225586,52.131554,21.065710,52.162537,21.027774,2
2024-12-18T21:07:50.032+01:00,2024-12-18 21:06:10.561,0.679481,walking,0.386169,140.69014,52.163345,21.026136,52.162281,21.027251,2
2024-12-18T21:24:57.838+01:00,2024-12-18 21:07:50.032,0.99026,in subway,0.643929,4506.759277,52.162281,21.027251,52.129948,21.065341,2
2024-12-19T09:32:54.914+01:00,2024-12-19 09:27:02.465,0.717026,walking,0.508268,246.056763,52.129584,21.065644,52.131414,21.065780,2
2024-12-19T09:39:27.730+01:00,2024-12-19 09:32:54.914,0.999113,in subway,0.94603,3377.028809,52.131414,21.065780,52.155436,21.035499,2
2024-12-19T10:04:17.865+01:00,2024-12-19 09:46:24.192,0.993494,in subway,0.887441,6145.33252,52.155179,21.035067,52.207916,21.008111,2
2024-12-19T10:17:22.564+01:00,2024-12-19 10:04:17.865,0.896691,in tram,0.785174,1797.667236,52.207916,21.008111,52.222377,21.004830,2
2024-12-19T10:21:04.839+01:00,2024-12-19 10:17:22.564,0.811528,walking,0.483599,126.200912,52.222377,21.004830,52.222086,21.006621,2
2024-12-19T18:56:57.120+01:00,2024-12-19 18:30:09.684,0.991221,in tram,0.503103,9826.408203,52.222090,21.005438,52.140373,21.057094,2
